SEQENCE ID                     TM SP PREDICTION
PF3D7_1422200.1-p1              0  0 i
PF3D7_1422600.1-p1              0  0 i
PF3D7_1422700.1-p1              0  0 i
PF3D7_1423500.1-p1              0  0 i
PF3D7_1423700.1-p1              0  0 i
PF3D7_1425300.1-p1              0  0 i
PF3D7_1425500.1-p1              0  0 i
PF3D7_1425800.1-p1              0  0 i
PF3D7_1426600.1-p1              3  0 i476-498o530-546i857-873o
PF3D7_1426800.1-p1              0  0 i
PF3D7_1427000.1-p1              1  0 i12-29o
PF3D7_1427300.1-p1              2  0 o370-387i605-625o
PF3D7_1427700.1-p1              1  0 o31-50i
PF3D7_1428900.1-p1              2  0 o1189-1209i1221-1241o
PF3D7_1429600.1-p1              3  0 o6-26i47-70o102-125i
PF3D7_1430000.1-p1              3  0 o185-203i210-231o237-258i
PF3D7_1430500.1-p1              0  0 i
PF3D7_1432200.1-p1              0  0 i
PF3D7_1433200.1-p1              1  0 i544-570o
PF3D7_1433700.1-p1              2  0 o6-24i142-158o
PF3D7_1433800.1-p1              5  0 i12-32o565-588i1105-1125o2214-2235i2256-2274o
PF3D7_1434400.1-p1              1  0 o267-284i
PF3D7_1434900.1-p1              0  0 i
PF3D7_1435200.1-p1              0  0 i
PF3D7_1435600.1-p1              0  0 i
PF3D7_1435900.1-p1              0  0 i
PF3D7_1436400.1-p1              1  0 o963-982i
PF3D7_1436700.1-p1              1  0 i188-206o
PF3D7_1437100.1-p1              1  0 o75-92i
PF3D7_1437300.1-p1              0  0 i
PF3D7_1437600.1-p1              1  0 o376-393i
PF3D7_1439200.1-p1              5  0 o444-461i562-579o599-617i795-812o824-844i
PF3D7_1440000.1-p1              0  0 i
PF3D7_1440900.1-p1              0  0 i
PF3D7_1441100.1-p1              0  0 i
PF3D7_1441500.1-p1              0  0 i
PF3D7_1442700.1-p1              0  0 i
PF3D7_1442800.1-p1              0  0 i
PF3D7_1444000.1-p1              0  0 i
PF3D7_1444100.1-p1              0  0 i
PF3D7_1444400.1-p1              0  0 i
PF3D7_1444600.1-p1              0  0 i
PF3D7_1444900.1-p1              0  0 i
PF3D7_1445700.1-p1              0  0 i
PF3D7_1446100.1-p1              0  0 i
PF3D7_1447100.1-p1              0  0 i
PF3D7_1447200.1-p1              0  0 i
PF3D7_1447400.1-p1              0  0 i
PF3D7_1447600.1-p1              0  Y n8-18c25/26o
PF3D7_1447700.1-p1              3  0 i35-58o73-95i116-140o
PF3D7_1448100.1-p1              0  0 i
PF3D7_1448300.1-p1              0  0 i
PF3D7_1448500.1-p1              0  0 i
PF3D7_1449200.1-p1              0  0 i
PF3D7_1449600.1-p1              0  0 i
PF3D7_1449800.1-p1              0  0 i
PF3D7_1449900.1-p1              0  0 i
PF3D7_1450200.1-p1              0  0 i
PF3D7_1450500.1-p1              3  0 o674-697i1499-1520o1579-1598i
PF3D7_1450800.1-p1              1  0 i352-372o
PF3D7_1451200.1-p1              0  0 i
PF3D7_1452400.1-p1              0  0 i
PF3D7_1452600.1-p1              9  0 o696-717i1026-1049o1752-1771i2054-2073o2093-2110i3033-3056o3062-3081i3093-3117o3123-3141i
PF3D7_1452800.1-p1              0  0 i
PF3D7_1452900.1-p1              0  0 i
PF3D7_1453000.1-p1              0  0 i
PF3D7_1453200.1-p1              0  0 i
PF3D7_1453900.1-p1              0  0 i
PF3D7_1454200.1-p1              3  0 o1113-1131i1265-1283o1354-1377i
PF3D7_1454800.1-p1              0  0 i
PF3D7_1454900.1-p1              0  0 i
PF3D7_1455300.1-p1              0  0 i
PF3D7_1455700.1-p1              0  0 i
PF3D7_1456200.1-p1              2  0 o609-627i634-652o
PF3D7_1456300.1-p1              1  0 o228-247i
PF3D7_1456400.1-p1              0  0 i
PF3D7_1456700.1-p1              1  0 o319-338i
PF3D7_1456900.1-p1              0  0 i
PF3D7_1457100.1-p1              0  0 i
PF3D7_1457400.1-p1              7  0 o421-441i525-543o1455-1476i1667-1685o2274-2294i2889-2910o2916-2936i
PF3D7_1457600.1-p1              0  0 i
PF3D7_1457800.1-p1              0  0 i
PF3D7_1457900.1-p1              8  0 o272-290i675-691o711-731i1564-1582o2721-2743i3049-3071o3091-3111i3430-3453o
PF3D7_1458200.1-p1              1  0 i81-100o
PF3D7_1459400.1-p1              1  0 i51-71o
PF3D7_1459500.1-p1              4  0 i135-158o178-196i760-781o801-820i
PF3D7_1460200.1-p1              0  0 i
PF3D7_1460500.1-p1              0  0 i
PF3D7_1461000.1-p1              0  0 i
PF3D7_1461100.1-p1              0  0 i
PF3D7_1461700.1-p1              0  Y n6-17c22/23o
PF3D7_1461800.1-p1              0  0 i
PF3D7_1462100.1-p1              1  0 o1047-1065i
PF3D7_1462200.1-p1              0  0 i
PF3D7_1462400.1-p1              0  0 i
PF3D7_1462500.1-p1              3  0 o421-442i463-486o514-532i
PF3D7_1463600.1-p1              1  0 i12-31o
PF3D7_1464100.1-p1              0  0 i
PF3D7_1464300.1-p1              1  0 i158-176o
PF3D7_1465400.1-p1              0  0 i
PF3D7_1465600.1-p1              2  0 i163-186o198-222i
PF3D7_1466000.1-p1              0  Y n7-14c21/22o
PF3D7_1466500.1-p1              0  Y n3-13c19/20o
PF3D7_1466900.1-p1              0  0 i
PF3D7_1467600.1-p1              0  0 i
PF3D7_1467800.1-p1              0  0 i
PF3D7_1469500.1-p1              0  0 i
PF3D7_1470100.1-p1              7  0 o292-310i827-845o1280-1307i1593-1610o2282-2298i2319-2337o2343-2362i
PF3D7_1470200.1-p1              0  0 i
PF3D7_1470300.1-p1              0  0 i
PF3D7_1470700.1-p1              0  0 i
PF3D7_1470800.1-p1              0  Y n4-15c20/21o
PF3D7_1471700.1-p1              0  0 i
PF3D7_1471800.1-p1              0  0 i
PF3D7_1471900.1-p1              0  0 i
PF3D7_1472300.1-p1              7  0 o6-21i284-306o312-329i383-403o415-437i458-478o493-514i
PF3D7_1472500.1-p1              0  0 i
PF3D7_1473000.1-p1              1  0 i12-33o
PF3D7_1473400.1-p1              0  0 i
PF3D7_1473500.1-p1              0  0 i
PF3D7_1473600.1-p1              0  0 i
PF3D7_1474000.1-p1              2  0 o798-818i928-949o
PF3D7_1474400.1-p1              2  0 o1272-1289i1420-1443o
PF3D7_1475100.1-p1              3  0 o437-456i753-771o1154-1171i
PF3D7_1475200.1-p1              0  0 i
PF3D7_1475800.1-p1              1  0 o174-193i
PF3D7_1476000.1-p1              1  0 o37-61i
